"","NodLabel","Treatment","N","Total","Freq","CD45","CD57","In115Di","IdU","CD103","CD19","CD45RA","KLRG1","CD4","CD8","Perforin","CD16","CD127","CD1c","CD123","CD66b","PD1","ICOS","CD27","TIM3","CCR6","CD14","CD56","CD69","41BB","CD25","CCR7","CD3","OX40","CD38","CD95","LAG3","CXCR3","HLADR","TIGIT","GranzymeB","DNA","Osmium","CD11b"
"1","nk_cell","1_normal",37250,169733,0.219462332015577,0.632042646763592,0.471856157897045,0.309882983386525,0.122300366415516,0.0436243946578629,0.0570530813893533,0.500081954306956,0.148510856407751,0.0541025759094906,0.228367308992924,0.751581182249401,0.574759559308203,0.112013732587287,0.0451467026874015,0.0163338792228074,0.0884328764794663,0.0312568985388066,0.114047030161382,0.0464236559486631,0.0983324633668544,0.0203451691175142,0.030354538752224,0.449405173341309,0.34434301105257,0.0234376954606706,0.0381399407522862,0.0370201763529989,0.0906802878840378,0.0132633889607442,0.394516410459084,0.285110583659881,0.0708800033046278,0.151161172411839,0.0806526615938362,0.263996078110666,0.579452792670742,0.744498739491156,0.397347251375699,0.281926137831416
"2","nk_cell","2_border",5817,55703,0.104428845843132,0.654697996176344,0.473315095033554,0.35207494348661,0.0852058278994534,0.0551931801528922,0.0601155809001761,0.597404570506003,0.158087542653135,0.0640575751890603,0.220425910780436,0.672966145191922,0.517369980138151,0.0964347606672123,0.0372437637461135,0.0168218261778854,0.0736237342948881,0.0317643422358422,0.102443573427395,0.0683696652551397,0.0899230493565275,0.0287428713833057,0.0370229508184926,0.513325885382049,0.460976031440767,0.0370988328303663,0.0581447470405655,0.053628269057218,0.10690360045557,0.0187327906859665,0.448510491596561,0.305160240994381,0.084146126074579,0.213007052233927,0.0917314543030767,0.301237482649191,0.524337023139595,0.756936688590622,0.417410733006491,0.299516837336423
"3","nk_cell","3_tumor",4949,333723,0.0148296641226406,0.569153850870697,0.0905792044254044,0.0557751606891463,0.115968492720332,0.212699697548877,0.0769853336192733,0.244527606077648,0.110509093543578,0.0706727443430748,0.185805625893643,0.3523403120391,0.188635984134573,0.155080699277926,0.0214004465854529,0.0163754590718292,0.0688837168976428,0.0350805364680326,0.138132111629456,0.157386270180792,0.0438466554525944,0.0534907577778997,0.0314227334469173,0.383029793130732,0.428645687959325,0.0429880517123369,0.120222029183023,0.103321853910802,0.150517250278524,0.036194606852357,0.441849763269478,0.306477259940033,0.130433192007288,0.416659229850667,0.119335687310009,0.174055850358757,0.169907249789036,0.755781733414196,0.418075261676391,0.124231446966257
"4","basophil","1_normal",1349,169733,0.00794777680238964,0.481602097537594,0.0373957646126054,0.0139732242417098,0.121698566864592,0.0463620799144036,0.0367245089962175,0.0372853702398132,0.128646925368569,0.0498388135279367,0.123104340493668,0.351636473891733,0.0768746638835315,0.0317152243116113,0.00832492835420322,0.288253716392087,0.0373072111313656,0.0444858722777792,0.0894075260672749,0.0291676816347317,0.00959042364646939,0.0138823968260947,0.017439065927926,0.0182710964946293,0.177857404574636,0.0138836548250324,0.113655113160309,0.0374847457151872,0.115046604368935,0.0119274402285234,0.245319158641422,0.238321408815923,0.0577175576564255,0.112674104387343,0.0464941859127476,0.0438650394185393,0.146552735760225,0.732596682035846,0.352416751341188,0.296066129340993
"5","basophil","2_border",214,55703,0.00384180385257527,0.583982697064143,0.0479840586536286,0.0153229572450148,0.0760217449824597,0.0514610896886618,0.0283925067983891,0.0327457110824846,0.177025250123964,0.142518489804709,0.143289620859691,0.181632935699479,0.0331169099361858,0.0925181451911685,0.00652642232778361,0.255180874913461,0.0217324848120354,0.0604917453595612,0.0892597106946787,0.0540559301183345,0.0148464728864067,0.0155266955879541,0.0153018860119569,0.0229943949300816,0.312598785679762,0.0308929106225022,0.114780290823359,0.0407267170724493,0.20276130029984,0.0186335430853769,0.244139767867839,0.264081036808756,0.0647148236415496,0.18931540995328,0.0417702985180128,0.0412048481282835,0.0819579642470454,0.759893033101046,0.398379083272785,0.373087564809621
"6","basophil","3_tumor",554,333723,0.00166005939057242,0.54117482954015,0.0325363605320351,0.0118177523555901,0.126650193113994,0.0900251806352391,0.0969872418371297,0.0634718077585126,0.151503949876831,0.0741601713915631,0.183095091090113,0.216154818516756,0.0512482954153161,0.039676230629074,0.00995043333309946,0.271060819975515,0.0314229097467932,0.0464661277199721,0.120610493814767,0.0639204329147765,0.0372048950735063,0.0195916369732702,0.0267117759003006,0.0248322403460951,0.289496558470294,0.0425104694730154,0.19720520746671,0.131004270463803,0.228599417744225,0.0496377533955604,0.456059240817602,0.328047868375722,0.134820411667461,0.280073670163908,0.0564190605226909,0.0614137539961178,0.102478234909258,0.760974207984649,0.417571499468529,0.220650988369491
"7","granulocyte","1_normal",31037,169733,0.182857782517248,0.535978015889572,0.0925015940972001,0.0336116137392071,0.164125071344865,0.0594760692373329,0.0655029200024425,0.117984834310212,0.0917967931837386,0.0698664737183765,0.162318167910344,0.400658298655705,0.515054283358911,0.0813682618285055,0.0437120010789735,0.0719092872832422,0.669409106018695,0.0716014771226894,0.160948708952907,0.0601200942701142,0.0254287116182117,0.040702792498921,0.0490884906375425,0.105643304342022,0.228309100944955,0.0274813552332957,0.0238828544768704,0.03990899621648,0.135546019146862,0.0186179570991851,0.143627741566265,0.357646889702092,0.0770500593357905,0.141544121831249,0.0872366858022286,0.0692485685671635,0.325410081728377,0.77649539664217,0.552959383881884,0.643294155430791
"8","granulocyte","2_border",1769,55703,0.0317577150243254,0.628364116845896,0.0681397609576704,0.038599315303397,0.116783749605146,0.0622877080043356,0.059902327784521,0.10898160375823,0.152201532149237,0.160122989826636,0.188199798083109,0.289914309984673,0.479762556036706,0.176913672143789,0.0431719941341135,0.0422309541836,0.620308309915186,0.0832707723234221,0.172433003987327,0.0944687788542138,0.0288567653511741,0.0622408670057267,0.0542487885679063,0.111437591288606,0.288510494964578,0.0360283028484187,0.0389417570090429,0.0689867064564985,0.243149736758777,0.0327235297687649,0.145141831705372,0.393510449928036,0.109184940712463,0.236255469858863,0.0951756393785606,0.0774969402069989,0.260471895777309,0.776676545399764,0.493733930310616,0.591466501336265
"9","granulocyte","3_tumor",7271,333723,0.0217875303769893,0.627182900863654,0.0688562249570435,0.0316768281557981,0.153899181415396,0.161013665413386,0.107367403880526,0.121399618037337,0.109007466065509,0.163769496749053,0.298489873779838,0.267748277067871,0.453868719775462,0.130314670146717,0.0465844269594547,0.0360749110862564,0.574451722502006,0.154874988020335,0.253171855694424,0.242263933264679,0.056645023261984,0.0822826790183849,0.0683514813308814,0.119124428057273,0.340735982767414,0.0517492439742006,0.0876887340182373,0.147113480191425,0.380334895266005,0.0580549151220297,0.287540992476466,0.426031242728765,0.186761338248757,0.392874632936974,0.161532331293221,0.183818114389713,0.228876756840061,0.779923040497311,0.46341015620256,0.483962032926429
"10","b_cell","1_normal",3420,169733,0.0201492933018329,0.712256729219459,0.0332394774051849,0.0166924198752286,0.122181519192627,0.0459561414744776,0.540125729558445,0.48952129848648,0.0838416269570343,0.0556603456319482,0.118404577071766,0.436208204113202,0.114100388344886,0.0415882446009772,0.166215263031786,0.0587231067042328,0.0769019698446434,0.0285843766755061,0.0954553712465714,0.137334827413824,0.0200802506360053,0.181174062583758,0.0455802597365094,0.0803155072116123,0.256180273325562,0.0180625063472427,0.0987623288063345,0.395561948345842,0.13760924704,0.0338577571925215,0.375273847909165,0.175710293326536,0.0865099722436363,0.191259568393691,0.588660016513106,0.115831545560506,0.182405758702823,0.740265792955428,0.3807348364989,0.121893526421323
"11","b_cell","2_border",1499,55703,0.0269105793224781,0.718888833026632,0.0289225500588818,0.0111413283065055,0.0974448424233576,0.0499078381021085,0.542596923411417,0.55067321127721,0.0877954472929049,0.0568760943289097,0.108927184107097,0.248393277597494,0.0778800067485389,0.0283120458112778,0.159725918589158,0.0534479525052881,0.0692201963533261,0.025700872387618,0.0869922806574453,0.196981916806033,0.0196290801365025,0.240346870240087,0.0550631193763499,0.0956776024703233,0.299119090922841,0.0215203913167778,0.105474770360613,0.379810398040291,0.128780543444806,0.0309372289584696,0.334490906543444,0.207705764368408,0.109035564587664,0.299004976168347,0.610945665533265,0.120896259664113,0.14931457277672,0.751362739915643,0.396963469312255,0.137977909154871
"12","b_cell","3_tumor",59156,333723,0.177260782145672,0.678858501469309,0.0361615691785672,0.0137526201841757,0.130945595978136,0.10632812608879,0.621760814496818,0.441099132487495,0.0929856431946295,0.0954026187225292,0.257915735007278,0.262496592948878,0.114880531648337,0.0422496345610054,0.123045302689149,0.0653646789506919,0.0902871242868411,0.0615530110958793,0.156708184098761,0.481289028219072,0.0406010766916632,0.194113446239134,0.0747540582515982,0.126764300662475,0.317713975983399,0.0346861267728054,0.302802727071345,0.376731484976111,0.358162540001477,0.132780242144192,0.589381779225161,0.513372568057154,0.310924069533306,0.522204269474565,0.392037796964516,0.125483997123217,0.141637628235644,0.797610373443145,0.487521739730524,0.109424330025897
"13","mdc","1_normal",5911,169733,0.0348252844172907,0.67397957372684,0.0762428854773597,0.0332749555353393,0.136252410482182,0.0871802977162794,0.0677112767827693,0.148661029569406,0.140345447172158,0.256442219459027,0.239598473089383,0.505443358549274,0.146858372661067,0.0544175073806723,0.231588005972372,0.110617397025798,0.0970358764764717,0.0937233741422244,0.153943599543254,0.140517245866091,0.157293839429332,0.0919722938592311,0.0647591002094091,0.121894597164842,0.270491577672625,0.0356998767726849,0.0737441967466458,0.0864430431806676,0.22403619653677,0.0257075262728601,0.334609482728989,0.344808919237847,0.146844639134391,0.322340077107097,0.58389440304243,0.208390941594732,0.271799251982889,0.759525051179227,0.442358962675285,0.216165454048572
"14","mdc","2_border",4113,55703,0.0738380338581405,0.74961591679271,0.0927526046037538,0.0450204962171388,0.104613050700182,0.189749529735364,0.0616772380994977,0.131399965213174,0.126615700346941,0.298977454744142,0.336272689262857,0.337954551989043,0.1098213081442,0.0512597025045552,0.235398123296213,0.102561565009254,0.0923851128653709,0.192348740976993,0.23311976084831,0.255466558024958,0.20333747608911,0.135580400879309,0.0844261226560368,0.127674607317626,0.372879624534206,0.0692441709917734,0.0927060288363844,0.0981362721858451,0.311697921988689,0.0353112777604663,0.419275871136517,0.437369997046286,0.228744441430814,0.472469340584084,0.651238193270553,0.287098488153021,0.239975663286322,0.780889344243545,0.462996986383864,0.237144872567775
"15","mdc","3_tumor",16879,333723,0.0505778744647507,0.663559503829009,0.0626318804385798,0.0250895754027024,0.140696798903021,0.113516534720784,0.0682361814353437,0.130874307858936,0.0748479564939184,0.128900988138901,0.210434831787974,0.14980301031393,0.0967431864086289,0.047168197593217,0.0712505627198827,0.0370000683352333,0.180464158688388,0.139487472732156,0.203639573002204,0.1863444051181,0.0825722077510469,0.185753259497694,0.0883483711915121,0.139036810837458,0.327818152776815,0.0436453296900458,0.0827242952494893,0.307461709952155,0.394595773145523,0.0579373376697735,0.308762710817177,0.386290366072052,0.310278852669264,0.659127022966136,0.523323855325273,0.200703993886646,0.175710656533513,0.767984254127688,0.448114749657896,0.209576626360894
"16","t_cell","1_normal",87728,169733,0.516858831223156,0.750189703549682,0.214483954011257,0.12774970432864,0.116384515459856,0.0702576967579465,0.0480769383190971,0.200277966352523,0.462587791747809,0.186738394701288,0.439824532180991,0.494581206881875,0.132600980828309,0.320474290068524,0.0267125554662496,0.0125028211721705,0.0563855671021474,0.136543444585283,0.175209986570672,0.231026528402954,0.0211326470646115,0.0778593201159138,0.0503389622298118,0.291969380396266,0.499900336099478,0.0549575062324202,0.070188445562736,0.104590058431051,0.664857867568756,0.0650506727836518,0.184253436778025,0.464819449765581,0.141525470052951,0.28161306587419,0.151576975803375,0.206293176518701,0.331150175977491,0.743114518691633,0.378901277497802,0.144823621126095
"17","t_cell","2_border",40697,55703,0.730606969103998,0.771859566387584,0.133238989212959,0.071226576987434,0.0847828916106537,0.137164377391153,0.0424241660977323,0.119617728930531,0.33159816794284,0.302812326161,0.399210153312613,0.288140298692769,0.0849533501061959,0.352758452612749,0.0228699023896705,0.0116880287698929,0.0467942346303663,0.18262168664142,0.232125193104734,0.326659054956814,0.0412165504097843,0.0957615416916934,0.0391333624484203,0.171121957605646,0.541493354802762,0.0706122327021521,0.0820614046132864,0.114724619752655,0.64810467823246,0.0635277557067898,0.223544369497647,0.514985147232859,0.206851902160431,0.472802530781768,0.196347782432745,0.203855994405358,0.209077142116804,0.752483641400076,0.392557626018952,0.150090244644932
"18","t_cell","3_tumor",239343,333723,0.717190604183709,0.767687530274188,0.125656538298333,0.0584750800251993,0.114819341972666,0.363610173346825,0.0703908297003161,0.0946473120950209,0.144531778026915,0.284144873500936,0.571155721022428,0.27255499817493,0.106192825538306,0.176690526575952,0.0274301062306259,0.0173628177650573,0.0615219110783109,0.308785774058813,0.406637699383923,0.539451595376569,0.105943903436081,0.0509140321417004,0.0398884919829738,0.100944088266543,0.603992760198067,0.0994758815093805,0.124203910985058,0.141765343265613,0.686664338518956,0.0848918845816386,0.383491976257759,0.558476710815429,0.295870602835028,0.598766708452302,0.247096995877685,0.436337687764323,0.206387821971722,0.747569882208085,0.381342346893561,0.0922307389769799
"19","monocyte","1_normal",2932,169733,0.0172741894622731,0.674322237161997,0.0333173691890743,0.0143356077410848,0.141380064633969,0.0619210375206822,0.067032044432983,0.122729002727567,0.0934746033090383,0.400565589779305,0.167877287845263,0.521857464341484,0.161542504896336,0.0414563536265838,0.0461996482387664,0.128908616350095,0.0867044606383155,0.0239670728306724,0.130908445127959,0.100887746768465,0.189623451658068,0.150406277072955,0.594151433559599,0.102190895904222,0.140434770487738,0.0204200432806468,0.0305814155961132,0.0459007571879501,0.136042435727751,0.0199239109277088,0.410719858103499,0.455831950099087,0.141377207520825,0.21551977103141,0.51987482086617,0.101617559326847,0.259785077083746,0.777567142401811,0.494162641135901,0.587925309215579
"20","monocyte","2_border",1449,55703,0.0260129615999138,0.767452896065461,0.028448250012833,0.0110187399811915,0.127515130724761,0.0704315110220556,0.0692336381473754,0.142476008883789,0.0729959910155373,0.398076289628126,0.164966745428241,0.352152106150496,0.127670853626493,0.027358499714533,0.0605293873760272,0.149341056589555,0.0731834622713227,0.0313489754341654,0.130100051412064,0.0913541656457246,0.168721273096616,0.139009394172448,0.609195538779441,0.103753762454305,0.163589409869667,0.0266545478374874,0.0316781119037343,0.0546736049267183,0.120218595484801,0.0182230834581156,0.408068988223967,0.448083073840073,0.145673447115192,0.299392514808556,0.643741626805147,0.149303291049773,0.206823090977109,0.807794250151328,0.523850077830465,0.657669795553424
"21","monocyte","3_tumor",5264,333723,0.0157735607075329,0.752593647590401,0.0306365582386917,0.010393428072413,0.156884490728302,0.115539471662924,0.10280410937755,0.149103641319492,0.0905591324837684,0.491790222378378,0.27490468790047,0.368663370824561,0.187793960116519,0.0380680839949456,0.0505732615491076,0.103948427913192,0.123476754551102,0.0429025812741249,0.211910383895937,0.231857877200244,0.354889657790318,0.345201659920965,0.725178698937739,0.177140267753304,0.202944728143733,0.0357109090661343,0.0823370175677286,0.0946115935199336,0.2224335602653,0.0276866995291169,0.482349818118574,0.464807315571025,0.222989530744355,0.425074380458615,0.735317020347547,0.260980199517469,0.279369225681806,0.838384332345346,0.588568896669065,0.533791931356585
"22","pdc","1_normal",106,169733,0.000624510260232247,0.542380368520851,0.0188324208543497,0.00183676939175303,0.103065979969963,0.0542739795627401,0.0498944912177862,0.287333014705643,0.0967251521824748,0.507655806337789,0.143539447895164,0.518719651285772,0.120418257077747,0.0376128862307043,0.0268997910789327,0.75320975541992,0.0803998953337701,0.0903711910355745,0.12310953921829,0.0753581187744758,0.176413114819333,0.0900483485113268,0.0938328802553485,0.125386693733213,0.124102516822194,0.0237438169406607,0.0293597941015844,0.0653693422148095,0.0956417854010297,0.01928611145316,0.372251997489136,0.233569028376343,0.122961083195226,0.47334282390822,0.614812093208665,0.144813669621936,0.293841238513391,0.771092429697102,0.49745387692288,0.0679808051878604
"23","pdc","2_border",145,55703,0.00260309139543651,0.640372792044467,0.0263021468689297,0.016131054980104,0.0752597841007036,0.0620430494808456,0.0626689147351629,0.501480546472179,0.0843410510937013,0.580033198212793,0.164302807699661,0.374328212672742,0.109049561463646,0.0278133692154021,0.0241007834290703,0.891321999321224,0.0863118290841256,0.150009094329585,0.104546813880406,0.0511094424989315,0.0968842419183648,0.042746236889454,0.0450689758204154,0.135628170824699,0.136216864909595,0.0229265048947941,0.0346502801793352,0.117516600389571,0.0827614571547552,0.0221982329570435,0.437954713697134,0.153856223837464,0.166350051143159,0.631066867894524,0.662005835019388,0.156023125398131,0.345719697772313,0.781325856011854,0.512721310175534,0.0672264316939715
"24","pdc","3_tumor",307,333723,0.000919924608133092,0.644937454745417,0.0266894134581438,0.011109434098749,0.121183740311758,0.102739572597739,0.0813772048885185,0.549357089431887,0.126191515182729,0.652096347395286,0.231905488697665,0.317335447636088,0.117184496161635,0.0332529556724656,0.0302472236602131,0.909107983568159,0.115248523985992,0.186949584371214,0.14810650480789,0.103300213892491,0.0753601859509488,0.0533710875544794,0.0545587916137669,0.14229210088774,0.144596127924238,0.0244139210411938,0.0377900692510889,0.174558036827865,0.156123722086058,0.0252417326287331,0.406959177892952,0.213609661240351,0.207309959543274,0.679879803752119,0.628751890261577,0.171821638606682,0.47403108653843,0.793745248542271,0.546732291711705,0.0727553463842843
