"","Louvain_3","Treatment","N","Total","Freq","CD45","CD57","In115Di","IdU","CD103","CD19","CD45RA","KLRG1","CD4","CD8","Perforin","CD16","CD127","CD1c","CD123","CD66b","PD1","ICOS","CD27","TIM3","CCR6","CD14","CD56","CD69","41BB","CD25","CCR7","CD3","OX40","CD38","CD95","LAG3","CXCR3","HLADR","TIGIT","GranzymeB","DNA","Osmium","CD11b"
"79","1","1_normal",14399,169733,0.0848332380856993,0.765428971810386,0.0348123292848297,0.00922383537286548,0.116243605255258,0.0482783269517,0.0394411942347893,0.0514676954451837,0.344372183415311,0.672929953661886,0.162827809219293,0.410253448815944,0.0876184636989924,0.545353735413323,0.0263374199406141,0.00986754669401747,0.0565073629904874,0.113340925784769,0.189955982895141,0.23361966289691,0.0132103583757599,0.0978198143622253,0.0326243922305579,0.169543930440124,0.494759621385581,0.0480717512047801,0.100758871648956,0.134082832923939,0.61925130464645,0.0670526158933736,0.118933595691701,0.52350851352902,0.168635957565031,0.347883074926456,0.116393789469824,0.0793048660520681,0.141251892249476,0.742800718708367,0.381173708715639,0.125347482952922
"80","1","2_border",14419,55703,0.258854998833097,0.762047825510036,0.035350825403833,0.0111307206690702,0.0810886277562996,0.0376447737090047,0.0332412208088975,0.0456762081092885,0.348873442113059,0.657009163056121,0.141388238451868,0.219675466262635,0.0627887819639896,0.575111974447783,0.023772932234133,0.00837967137023592,0.0481571205553816,0.0764556646097275,0.180684168545791,0.20570763430487,0.0123577992298219,0.123785421179979,0.0297139124237591,0.1116071620611,0.491860104150882,0.0424316353491586,0.0894472945645725,0.13269189406665,0.609481599416736,0.0603121183638343,0.103942478348098,0.511490811888042,0.187631705614195,0.510691239707117,0.124304362456699,0.0640245609055111,0.108278838333308,0.754616200779268,0.396741208770708,0.141045140653554
"81","1","3_tumor",20928,333723,0.0627106912019849,0.731250004788533,0.0365621047348652,0.0112384169398316,0.112460700036557,0.0497983648029309,0.0411202249307933,0.0487334096932985,0.281851775187694,0.697816703573684,0.184145049660277,0.195000230668028,0.0714040564457535,0.626609927364818,0.0295779657223985,0.00985501132599898,0.0558497126988435,0.0788922428677766,0.244681946755683,0.186841498210317,0.0149646449056677,0.128477462639183,0.0298064693730301,0.127559715459099,0.527790264496647,0.053125641906001,0.0830539956345919,0.186067054314983,0.627779316449088,0.0589431078977587,0.169066333022576,0.493182762020039,0.198119745913716,0.542810400797165,0.131114113320701,0.0775450810801105,0.0894510914898674,0.748279464742637,0.385578466453877,0.0836419549215835
"82","22","1_normal",467,169733,0.00275138010875905,0.822559870100886,0.418527438347527,0.155018438206487,0.12530477237602,0.1072531372949,0.0533343108362591,0.0839797068860213,0.315615633736145,0.673375478072526,0.272359152423066,0.45498521095345,0.100183637118754,0.19178063147305,0.0189645910816366,0.0148815886583269,0.0731697161738064,0.371333027696043,0.338470794431819,0.487001230922652,0.0387927292982362,0.0444732798634334,0.039768237532467,0.126610152132158,0.522970161643828,0.0642257124282876,0.0967557826448035,0.135035172846801,0.708002663176868,0.10430819156584,0.34387067814981,0.626525225790316,0.293765394956058,0.442384777807325,0.33683429754242,0.368501377874292,0.303559183392932,0.765091348886224,0.407663260405852,0.153931342961704
"83","22","2_border",593,55703,0.0106457461896128,0.837426732149324,0.449650963472501,0.208816024020933,0.0815707132882448,0.152771848014514,0.0499213085494986,0.0813102419025767,0.273389660094026,0.678241437939541,0.285264978650772,0.288483493959771,0.0843810629136919,0.228692674863051,0.0250568328372382,0.0149405334969762,0.0658449574317795,0.384095430175173,0.410566821985571,0.5097510879591,0.0526065631559909,0.0610421807047374,0.0429014174864117,0.127338568546706,0.583253789193314,0.084425216107279,0.111209535775041,0.149327603227951,0.721211691482515,0.11656202812228,0.371775284672945,0.645473865867137,0.345942582338835,0.58400070368869,0.349047200671793,0.377115359652674,0.250494556607115,0.777565239514159,0.426132029360937,0.202206876451934
"84","22","3_tumor",13316,333723,0.039901355315636,0.84179006565624,0.374048053468439,0.187431838897019,0.123726045153463,0.305722355606299,0.0830990152252455,0.108221771158281,0.2052273845179,0.730849421418224,0.49750527199033,0.303105785448294,0.127826035358472,0.273729590559164,0.0360665973348622,0.0224936159356193,0.0954682946209073,0.454022396081655,0.561682194459957,0.589624024018903,0.115695436389396,0.068746818071232,0.0516225440777319,0.160580532505541,0.660122510784126,0.12061931214457,0.196003186645741,0.21933937244957,0.797874411778354,0.170755826026556,0.428592549465559,0.678056090305871,0.434139191628653,0.687424998652866,0.328725951292839,0.563081440383578,0.235070246155921,0.797879185334813,0.454574980214763,0.127519581532608
"85","26","1_normal",1650,169733,0.00972115027720007,0.793229267330105,0.023941443994423,0.00624676878602687,0.139569294195812,0.0443624475697831,0.0413104892186054,0.0501702554064132,0.139328349607023,0.682167127588255,0.163693733978737,0.407760371738132,0.0856518599831271,0.115750588285117,0.0162096690876002,0.0120376792570618,0.0632299667539481,0.24362517395866,0.42783393129015,0.5143826918479,0.0442825407538482,0.0540547971563092,0.0269382034558417,0.111328142390553,0.414463503314764,0.0804270256677417,0.23255248369943,0.16075636586492,0.705598953022893,0.148108747810466,0.268883992450629,0.671602044421168,0.334253786765822,0.395966872691102,0.327170989632771,0.412664521023979,0.171156713680121,0.73754915028726,0.373551139427134,0.136263426176309
"86","26","2_border",1910,55703,0.0342889970019568,0.806603109277465,0.0278472715033906,0.00743731699579413,0.0950656492197482,0.0384695691077622,0.0363925866987618,0.0448231942273253,0.108513599932284,0.679925732015455,0.150287622785037,0.238924433737264,0.0686618199598529,0.147699499480978,0.0161524595887899,0.0126074578152281,0.0617715793063708,0.257035382059065,0.502942656263666,0.521860311300478,0.0618442159018781,0.065725816125013,0.0269965119094125,0.105983698738579,0.514079204385037,0.108962988123153,0.219882312275797,0.14581015814628,0.71311728991959,0.164609387323719,0.263579484115683,0.673970219483726,0.342444737649941,0.557779377686246,0.347638489676325,0.431649818107719,0.134803829168726,0.750004659226912,0.38898564097853,0.17596897562366
"87","26","3_tumor",44874,333723,0.134464810636366,0.783778769316549,0.0214781897728615,0.0058196469196544,0.113936772090153,0.0466400697567365,0.0446805156300823,0.0484155480053488,0.0908307868384767,0.708579082913021,0.19327940965164,0.193059387903852,0.0711123658661176,0.192548999689788,0.0175659932387955,0.010967470434932,0.0670261415437445,0.211353589365318,0.525126497037979,0.534387557116804,0.0568378567601649,0.053668555995153,0.028037011144521,0.117873514176719,0.523659192779896,0.0843902935994104,0.271376478804991,0.18761986049056,0.752325749837214,0.147499589086542,0.292403797416617,0.652918572829539,0.355863014729824,0.615513172741527,0.277201655855956,0.553161696625517,0.1226078941518,0.741373173173775,0.372140040863445,0.100748183317607
