"","HybridLouvain","Treatment","N","Total","Freq","CD45","CD57","In115Di","IdU","CD103","CD19","CD45RA","KLRG1","CD4","CD8","Perforin","CD16","CD127","CD1c","CD123","CD66b","PD1","ICOS","CD27","TIM3","CCR6","CD14","CD56","CD69","41BB","CD25","CCR7","CD3","OX40","CD38","CD95","LAG3","CXCR3","HLADR","TIGIT","GranzymeB","DNA","Osmium","CD11b"
"13","pdc_4","1_normal",2,169733,1.17832124572122e-05,0.593836489873074,0,0,0.424129626452592,0.0400200751062658,0.0842113005381623,0.481973842917644,0.143163751015435,0.516618838432396,0.138699180078925,0.580516479033832,0.164191626810783,0.0615980366481671,0.0592442525741841,0.841269023248438,0.166903857117937,0.126705838601339,0.119556833568317,0.0522239769796774,0.212639994654274,0.0720005602287044,0.00573175792408118,0.129741991653995,0.230393097531069,0.0105331735614851,0,0.0375162076180512,0.138619229166387,0,0.30354808316049,0,0.178380231438204,0.659041263602946,0.668423407106487,0.144638302575332,0.420877954622396,0.693432846203524,0.443176617146419,0.116710605883397
"14","pdc_4","2_border",16,55703,0.000287237671220581,0.655901935223629,0.0170665093798024,0.0236073383223977,0.313861425153815,0.0675037709560454,0.0860551736079403,0.550440096616859,0.090045659078188,0.643108143410368,0.207441644248883,0.403886827509589,0.092163852211829,0.0198744966985094,0.0204126447372511,0.960637976621041,0.0918405858526169,0.191840553235135,0.116177649239469,0.0509052577415671,0.056947005372622,0.0103503139939952,0.0355697499291543,0.0932289606213105,0.0592358796617671,0.0290936587630737,0.0603335537003623,0.127731537575772,0.068822397814131,0.00579297867041916,0.456278713391136,0.0958549661453962,0.161760584671363,0.672022194182549,0.67618134002349,0.14810142266002,0.407171284460591,0.791178517394387,0.540650352361271,0.0778930016612121
"15","pdc_4","3_tumor",80,333723,0.000239719767591685,0.638176003117988,0.0142882464997458,0.00781741527351473,0.310322166454657,0.0663317070542227,0.0716648752889599,0.59180051964299,0.106030813037607,0.680285212678919,0.180838948043152,0.302298719308325,0.103586790225044,0.019533872447613,0.0175786071077962,0.937432944909193,0.105948053611119,0.197761573951058,0.122755214267597,0.0450137229605024,0.0569541032013883,0.0405101924175027,0.0439978753668994,0.137572991113807,0.076272526375012,0.0115435119033405,0.0347547562707853,0.197133043445769,0.0821232450370974,0.021718471726263,0.401455535678661,0.147475190262052,0.176823255611725,0.692805760896414,0.630303294160681,0.140951596558002,0.492568433819876,0.781569645282072,0.536688176258644,0.0771170978682833
"16","pdc_3","1_normal",6,169733,3.53496373716366e-05,0.649674988550243,0.10512502239794,0,0,0.0688118706045704,0.00193343034349888,0.567592034636365,0.109844561087773,0.698688066266034,0.239583794716558,0.626401414608373,0.202423462667058,0.0428198880767242,0.0166324521529701,0.96788110989753,0.129373655902034,0.265161004187235,0.21205680339423,0.047903215474821,0.0409405416922347,0.0275341193795918,0.031384685630227,0.165003680456515,0.146395501539457,0.00697506111929519,0.0743006129375504,0.0801991290329197,0.168019668202646,0.0770876955951932,0.474796529361776,0.355089280192651,0.287711872361304,0.629585539493562,0.672814355511178,0.216050711276844,0.399467891254837,0.805576121689848,0.516725883465636,0.015881810237682
"17","pdc_3","2_border",27,55703,0.00048471357018473,0.677800542848681,0.0544525623350794,0.0315847743652722,0.0352841481327111,0.0296052574708378,0.0806549814863756,0.605684311016528,0.112217538230575,0.662202826682242,0.203300130728711,0.380223149577031,0.128837789225313,0.044120881523092,0.0240285904278375,0.960179663802037,0.113956193715226,0.199524348781071,0.122718837575563,0.0548520489693775,0.0494465870567319,0.0425791258080162,0.0341683811866774,0.12606111263317,0.136538728059012,0.0400581319457138,0.0238607493642799,0.182219063237343,0.103032675154113,0.0223702364828678,0.423895411128607,0.17665840892394,0.251762697340903,0.694423110069547,0.689949173702779,0.185964486798141,0.431578165100168,0.77777780635688,0.527744968501567,0.0883157867887346
"18","pdc_3","3_tumor",103,333723,0.000308639200774295,0.655016304665888,0.0289481174272934,0.00978617714802791,0.0377043320372026,0.0789966175306715,0.112086278707081,0.614227980206108,0.136632628829074,0.707476056138171,0.236264770950768,0.327086197584721,0.123230704572686,0.0348462695052604,0.0360821662867466,0.947537328503797,0.130852999099896,0.180056361672872,0.13407458340528,0.06729880066978,0.0589121484512493,0.0579811512125163,0.0564695680254178,0.176860857568674,0.103462505416579,0.0142049194267291,0.0377003328864668,0.195407821254229,0.128704541202975,0.0160224200018708,0.422232394094235,0.202077409668861,0.247925631238064,0.718567706590951,0.65230922772748,0.155146730473554,0.517060924190565,0.801208663763073,0.558067955423592,0.0733111376397503
"19","pdc_6","1_normal",15,169733,8.83740934290916e-05,0.59683491805525,0.000953408336235028,0,0.0460218842908724,0.0733381771598227,0.0435897607998612,0.462377436013854,0.0895817308936941,0.614503693569833,0.120878393931495,0.568715841834513,0.119069448614589,0.00798637816239755,0.0251126137495366,0.8944339407398,0.121113707184663,0.11545075355548,0.148282179977787,0.0202884025114214,0.0293184874434911,0.0557252127425083,0.0429097657072205,0.140788269987317,0.112704077725526,0.0078977903784523,0.0376305203858894,0.146690934663958,0.0745617279140316,0.00831174171258771,0.433584500898439,0.118489792646586,0.0636007089726932,0.596788420207059,0.650416543049943,0.127158962397149,0.347975826710576,0.752053314298562,0.51253717060034,0.0858709919845961
"20","pdc_6","2_border",50,55703,0.000897617722564314,0.626079751476561,0.00593251643699698,0.000947800225713549,0.0227723526348659,0.0452075944995305,0.0497013737598463,0.532589073542708,0.0836335475319394,0.579019997199376,0.118605630844848,0.370427581292053,0.101097406842712,0.0328509539471319,0.0153613815827634,0.925580949291384,0.0808450636151056,0.147940433420999,0.0833881612552508,0.0158270440254981,0.0183538454753082,0.0225936996120191,0.0380777978664988,0.116964810303411,0.0642335132555062,0.0127007296015023,0.0336761177203574,0.0957384377644692,0.0473265970022408,0.0232792805709834,0.445640609854823,0.0944369697727309,0.113479314860707,0.621029397779192,0.626216749833152,0.0973446115878639,0.348354538477322,0.776431275579488,0.500855506486694,0.0800739831106737
"21","pdc_6","3_tumor",57,333723,0.000170800334409076,0.592888269718323,0.0102307198262042,0.00400577097922086,0.0158083499731557,0.0410002045166142,0.0450407122639885,0.516901398785175,0.114070627211186,0.631797103658217,0.137521602524404,0.2952568412948,0.0976232204389941,0.0190798658895194,0.0232380601621549,0.905921247815607,0.115960183620961,0.147985545119022,0.0899080192116798,0.0358463076412152,0.032649400168576,0.0348020402665561,0.0372109110733004,0.0952904242628461,0.0511414486356471,0.00936794039489832,0.0265051243316937,0.104775092362932,0.0789337650792218,0.0191457028448062,0.398274926510639,0.122068243538506,0.114794379896768,0.641080137850837,0.604877911834833,0.112019917765574,0.445596821669381,0.766291498354862,0.512299226264898,0.0288226378236652
"22","mdc_2","1_normal",460,169733,0.00271013886515881,0.669265596556989,0.0185804591991867,0.00514201983508816,0.137724431641358,0.0799936719577972,0.0488118423820424,0.0671038708973247,0.214775817576175,0.400104534895982,0.155432640064111,0.583679880851243,0.143582462663927,0.0580696068167445,0.0661824790195597,0.027856539151157,0.0798671766093171,0.0694209316204382,0.121757711130976,0.0504914409851535,0.495268865097548,0.162050583070081,0.0416312961647797,0.178732505783168,0.176751731303516,0.0162503483818428,0.0434537412148414,0.0495136287234021,0.140855235929277,0.0206579022670179,0.481054322757936,0.225632909545603,0.174947766903902,0.572023036182926,0.699978620856785,0.163923732075107,0.274522570280236,0.783070999605726,0.523719825843955,0.0993490927484473
