"","iClassCol","HybridLouvain","Louvain_1","Louvain_2","Louvain_3","NodLabel"
"1","Louvain_1",0.478271683311724,NA,0.783840287414416,0.725706149638098,NA
"2","Louvain_2",0.595267842190214,NA,NA,0.938201765826561,NA
"3","Louvain_3",0.588639075801516,NA,NA,NA,NA
"4","NodLabel",0.103565525262265,0.0936825143950129,0.139109064146389,0.152389444019417,NA
"5","Treatment",0.0413591815177184,0.0556606531159444,0.0784964800474677,0.0901002774647659,0.0896256052688315
